DATE,DPCCRC1M027SBEA_PCH
2005-09-01,-0.00392
2005-10-01,0.53130
2005-11-01,0.71159
2005-12-01,0.35328
2006-01-01,1.34133
2006-02-01,0.01902
2006-03-01,0.47533
2006-04-01,0.42893
2006-05-01,0.26631
2006-06-01,0.39464
2006-07-01,0.39060
2006-08-01,0.08826
2006-09-01,0.89048
2006-10-01,0.45054
2006-11-01,0.29166
2006-12-01,0.84678
2007-01-01,0.37561
2007-02-01,0.07243
2007-03-01,0.49335
2007-04-01,-0.05521
2007-05-01,0.55245
2007-06-01,0.05494
2007-07-01,0.38796
2007-08-01,0.57553
2007-09-01,0.34405
2007-10-01,0.47719
2007-11-01,0.22867
2007-12-01,0.02808
2008-01-01,0.28774
2008-02-01,-0.26125
2008-03-01,0.23036
2008-04-01,0.45150
2008-05-01,0.40302
2008-06-01,0.07750
2008-07-01,-0.17107
2008-08-01,0.20726
2008-09-01,-0.44023
2008-10-01,-0.61046
2008-11-01,-0.37600
2008-12-01,-0.32702
2009-01-01,0.41276
2009-02-01,-0.16396
2009-03-01,-0.54546
2009-04-01,0.19225
2009-05-01,0.23426
2009-06-01,0.15620
2009-07-01,0.53002
2009-08-01,1.07546
2009-09-01,-0.93245
2009-10-01,0.34597
2009-11-01,0.22985
2009-12-01,0.23396
2010-01-01,0.08897
2010-02-01,0.30017
2010-03-01,0.94729
2010-04-01,0.26795
2010-05-01,0.11485
2010-06-01,0.28738
2010-07-01,0.27070
2010-08-01,0.39873
2010-09-01,0.19239
2010-10-01,0.47275
2010-11-01,0.30735
2010-12-01,-0.00780
2011-01-01,0.56383
2011-02-01,0.45097
2011-03-01,0.51734
2011-04-01,0.20521
2011-05-01,0.23327
2011-06-01,0.28189
2011-07-01,0.27783
2011-08-01,0.32161
2011-09-01,0.36715
2011-10-01,0.13812
2011-11-01,0.14763
2011-12-01,0.31957
2012-01-01,0.99212
2012-02-01,0.68288
2012-03-01,0.11287
2012-04-01,0.02634
2012-05-01,-0.01791
2012-06-01,-0.00948
2012-07-01,0.25603
2012-08-01,0.01051
2012-09-01,0.53593
2012-10-01,0.18814
2012-11-01,0.64787
2012-12-01,0.32030
2013-01-01,0.35647
2013-02-01,-0.00206
2013-03-01,-0.04530
2013-04-01,0.11949
2013-05-01,0.41154
2013-06-01,0.21005
2013-07-01,0.28118
2013-08-01,0.27631
2013-09-01,0.32741
2013-10-01,0.55133
2013-11-01,0.47171
2013-12-01,0.21468
2014-01-01,-0.37139
2014-02-01,0.65109
2014-03-01,0.85951
2014-04-01,0.48499
2014-05-01,0.57622
2014-06-01,0.69729
2014-07-01,0.46780
2014-08-01,0.73764
2014-09-01,0.25753
2014-10-01,0.57892
2014-11-01,0.29637
2014-12-01,0.56534
2015-01-01,0.10393
2015-02-01,0.12742
2015-03-01,0.82385
2015-04-01,0.46746
2015-05-01,0.52484
2015-06-01,0.24624
2015-07-01,0.42109
2015-08-01,0.39082
2015-09-01,0.20518
2015-10-01,0.35467
2015-11-01,0.36253
2015-12-01,0.35941
2016-01-01,0.03708
2016-02-01,0.75936
2016-03-01,0.08254
2016-04-01,0.57911
2016-05-01,0.34582
2016-06-01,0.50095
2016-07-01,0.26602
2016-08-01,0.37726
2016-09-01,0.56025
2016-10-01,0.37113
2016-11-01,0.24882
2016-12-01,0.36884
2017-01-01,0.52831
2017-02-01,-0.06967
2017-03-01,0.51213
2017-04-01,0.32626
2017-05-01,0.28082
2017-06-01,0.35664
2017-07-01,0.28837
2017-08-01,0.19874
2017-09-01,0.60010
2017-10-01,0.49584
2017-11-01,0.57938
2017-12-01,0.18095
2018-01-01,0.13919
2018-02-01,0.10921
2018-03-01,0.52977
2018-04-01,0.48259
2018-05-01,0.62918
2018-06-01,0.44068
2018-07-01,0.52050
2018-08-01,0.31890
2018-09-01,0.27935
2018-10-01,0.49551
